"","Season","End_of_Season","Manchester_City_dml","Arsenal_dml","Liverpool_dml","Chelsea_dml","Manchester_City_ts","Arsenal_ts","Liverpool_ts","Chelsea_ts"
"1","13_14",2014-05-31,416.5,359.3,305.9,387.9,115.5,49.25,58.1,130.35
"2","14_15",2015-05-31,463.5,435.5,391.8,420,102.8,118.98,151.43,137.7
"3","15_16",2016-05-31,524.9,468.5,403.8,447.4,208.47,26.5,126.5,96.5
"4","16_17",2017-05-31,527.7,487.6,424.2,428,216.25,113,79.9,132.8
"5","17_18",2018-05-31,568.4,439.2,513.7,505.7,317.5,152.85,173.65,260.5
"6","18_19",2019-05-31,610.6,445.2,604.7,513.1,78.59,80.15,182.2,208.8
"7","19_20",2020-05-31,549.2,388,558.6,469.7,169.82,160.8,10.4,45
"8","20-21",2021-05-31,644.9,366.5,550.4,493.1,173.4,86,84.05,247.2
"9","21_22",2022-05-31,731,433.5,701.7,568.3,138.9,167.4,87,118
"10","22_23",2023-05-31,825.9,532.6,682.9,589.4,155,186.4,142.3,611.49
