"","Month","Liverpool","Manchester_City","Arsenal","Chelsea"
"1","2013-06",15,4,19,16
"2","2013-07",18,4,25,17
"3","2013-08",21,6,31,29
"4","2013-09",18,5,26,15
"5","2013-10",12,5,21,15
"6","2013-11",13,4,20,11
"7","2013-12",19,8,23,16
"8","2014-01",20,7,26,18
"9","2014-02",19,13,25,23
"10","2014-03",19,10,20,18
"11","2014-04",27,8,16,37
"12","2014-05",19,8,18,16
"13","2014-06",16,2,16,14
"14","2014-07",25,5,32,19
"15","2014-08",30,8,39,23
"16","2014-09",17,8,24,18
"17","2014-10",18,5,19,19
"18","2014-11",17,7,17,16
"19","2014-12",20,6,19,18
"20","2015-01",20,7,24,23
"21","2015-02",20,8,20,20
"22","2015-03",18,8,20,21
"23","2015-04",15,7,19,19
"24","2015-05",15,4,21,17
"25","2015-06",17,3,19,13
"26","2015-07",20,6,25,19
"27","2015-08",21,9,35,26
"28","2015-09",16,7,19,18
"29","2015-10",21,7,20,17
"30","2015-11",18,6,16,15
"31","2015-12",19,8,21,20
"32","2016-01",25,7,26,19
"33","2016-02",20,11,29,22
"34","2016-03",19,7,21,16
"35","2016-04",28,17,15,12
"36","2016-05",25,12,16,16
"37","2016-06",14,4,18,10
"38","2016-07",20,7,24,19
"39","2016-08",24,10,34,23
"40","2016-09",18,13,21,19
"41","2016-10",21,11,17,17
"42","2016-11",15,8,18,14
"43","2016-12",17,10,18,20
"44","2017-01",23,8,19,22
"45","2017-02",13,9,19,16
"46","2017-03",12,9,17,15
"47","2017-04",13,11,20,24
"48","2017-05",16,6,21,20
"49","2017-06",16,5,19,15
"50","2017-07",21,9,31,29
"51","2017-08",32,8,32,29
"52","2017-09",20,10,19,24
"53","2017-10",16,9,14,15
"54","2017-11",14,9,13,15
"55","2017-12",22,17,19,17
"56","2018-01",31,13,33,25
"57","2018-02",20,12,21,28
"58","2018-03",21,11,19,21
"59","2018-04",50,21,22,13
"60","2018-05",62,5,20,17
"61","2018-06",19,4,17,12
"62","2018-07",25,6,20,19
"63","2018-08",26,10,21,23
"64","2018-09",33,7,14,17
"65","2018-10",22,8,15,15
"66","2018-11",23,10,15,13
"67","2018-12",39,12,25,16
"68","2019-01",36,15,23,24
"69","2019-02",36,20,16,26
"70","2019-03",31,12,18,14
"71","2019-04",43,29,20,18
"72","2019-05",69,17,24,24
"73","2019-06",41,5,13,12
"74","2019-07",21,6,23,14
"75","2019-08",40,13,25,23
"76","2019-09",25,10,18,13
"77","2019-10",32,9,18,14
"78","2019-11",34,14,15,15
"79","2019-12",61,15,23,16
"80","2020-01",42,13,22,16
"81","2020-02",39,16,15,16
"82","2020-03",27,8,9,10
"83","2020-04",8,2,6,6
"84","2020-05",8,2,7,6
"85","2020-06",20,9,14,16
"86","2020-07",26,12,22,25
"87","2020-08",19,19,27,23
"88","2020-09",28,9,26,25
"89","2020-10",30,10,21,19
"90","2020-11",24,9,14,15
"91","2020-12",30,12,20,19
"92","2021-01",35,14,21,18
"93","2021-02",28,17,16,19
"94","2021-03",20,13,14,17
"95","2021-04",29,28,17,29
"96","2021-05",28,37,16,53
"97","2021-06",10,5,12,13
"98","2021-07",13,6,17,16
"99","2021-08",24,18,29,32
"100","2021-09",26,20,16,25
"101","2021-10",35,14,14,19
"102","2021-11",29,18,13,22
"103","2021-12",35,18,22,27
"104","2022-01",28,13,25,26
"105","2022-02",40,15,13,37
"106","2022-03",32,17,14,23
"107","2022-04",66,48,18,40
"108","2022-05",93,45,17,23
"109","2022-06",16,6,13,11
"110","2022-07",40,24,25,25
"111","2022-08",47,35,29,30
"112","2022-09",31,26,24,20
"113","2022-10",58,53,37,31
"114","2022-11",27,22,19,17
"115","2022-12",29,21,19,11
"116","2023-01",37,45,44,32
"117","2023-02",46,46,38,31
"118","2023-03",46,28,33,24
"119","2023-04",46,75,43,50
"120","2023-05",31,100,29,27
